,pdfFile,txtFile,eventDate,eventPlace,locList,geoEvents
241,4598%20din%2002.09.2016.pdf,4598%20din%2002.09.2016.txt,02.09.2016,Prahova,"['ROMANIA', 'Prahova', 'Judetul Prahova nr. 8', 'Slt', 'Prahova', 'Singeru', 'DJ 234 de la km 12+000, km 12+470 si km 12+870.\n\nLa km 12+870 — alunecarea de teren a produs o tasare a platformei drumului judetean', 'Singeru', 'Salcia', 'Salcia', 'Judetul Prahova', '.G.A. Prahova', 'erodari\n', 'Singeru', 'DJ 234, km 12+000', 'DJ 234', 'zona km 12+470', 'DJ 234', 'Singeru', 'Prahova']",[]
242,46.Secaria-proces%20verbal%20nr.%201553%20%20din%2025.08.2018.pdf,46.Secaria-proces%20verbal%20nr.%201553%20%20din%2025.08.2018.txt,25.08.2018,Secaria,"['ROMANIA', 'Secaria\n\nin', 'Secaria\n\n', 'Secaria', 'Secaria', 'str. Negroi', 'Prahova', 'erodari de', 'Secaria', 'Prahova', 'Primifig']",[]
243,4625%20din%2005.12.2016.pdf,4625%20din%2005.12.2016.txt,05.12.2016,Carbunesti,"['ROMANIA', 'Carbunesti', 'Prahova', 'Carbunesti', 'judetul Prahova', 'Carbunesti', 'si dislocari ale\ntrotuarelor', 'Carbunesti', 'Prahova', 'Prahova', 'erodari de', 'Prahova']",[]
244,4641%20din%2026.05.2016.pdf,4641%20din%2026.05.2016.txt,26.05.2016,Albesti,"['ROMANIA', 'Albesti', 'Albesti - Paleologu', 'judetul Prahova', 'Albesti', 'judetul Prahova', '.G.A. Prahova', 'erodari de', 'Albesti']",[]
245,465-02.04.2015.pdf,465-02.04.2015.txt,02.04.2015,Jugureni,"['ROMANIA', 'Jugureni\n\nA', 'Jugureni', 'Valea Unghiului', 'Marginea Padurii', 'paraul Niscov', 'Niscov', 'Niscov', 'paraul Niscov', 'DJ 100H', 'Jugureni', 'Glod', 'Valea Unghiului”', 'Niscov', 'Valea Unghiului”', 'Niscov', 'Valea\nUnghiului si 10 m dreapta drum Glod) si o latime in partea carosabila de aproximativ 3 m', 'paraul Niscov', 'Drumul judetean DJ 100H', 'Valea Unghiului', 'Jugureni', 'DJ 100H in', 'Prahova', '.G.A. Prahova', 'erodari de', 'DJ 10H', 'Prahova']",['JUGURENI\nNr']
246,468.pdf,468.txt,22.01.2015,Gura Vitioarei,"['ROMANIA', 'Gura Vitioarei\n\nComisia numita', 'Gura Vitioarei', 'Poiana Copaceni', 'Prahova', 'Schela', 'Poiana Copaceni', 'DC 42 si', 'Schela', 'erodari de', 'Gura Vitioarei', 'Schela', 'Prahova', 'Sing']",[]
247,47.Carbunesti-proces%20verbal%20nr.%202618%20%20din%2031.07.2018.pdf,47.Carbunesti-proces%20verbal%20nr.%202618%20%20din%2031.07.2018.txt,31.07.2018,Prahova,"['ROMANIA', 'Prahova', 'Carbunesti', 'judetul Prahova', 'DC 55', 'Prahova', 'studii/expertize de\n\nspecialitate', 'Prahova']",[]
248,4758%20din%2003.11.2016.pdf,4758%20din%2003.11.2016.txt,03.11.2016,.G.A. Prahova,"['ROMANIA', '.G.A. Prahova\n\n', 'Batrani', 'DC 34', 'Ulita Groapa Socilor', 'DC 34', 'paraul Batraneanca', 'Batraneanca', 'Batraneanca', 'DC 34', 'Poiana\nMare si Batrani', 'Batrani', 'scrisai', 'Prahova', 'Prahova', 'erodari\n', 'DC 34']",[]
249,48.Starchiojd-proces%20verbal%20nr.3282%20%20din%2031.07.2018.pdf,48.Starchiojd-proces%20verbal%20nr.3282%20%20din%2031.07.2018.txt,31.07.2018,Comunei Starchiojd,"['ROMANIA', 'Comunei Starchiojd', 'Prahova', 'Starchiojd', 'judetul Prahova', 'DC 139', 'Gresia', 'Valea Anei', 'Paraul Stamnic de lungime', 'Stanilari', 'Jungime', 'Bradet', 'valea nepermanenta - afluent necadastrat', 'paraului Bradet', 'DC 59 A', 'paraului', 'Stémnic', 'Stubeu', 'Ceausi', 'fagase', 'DJ 102 L in centrul comunei', 'talvegului raului', 'Prahova', 'Prahova', 'Sing']",['Targului Comunal Sat Starchiojd']
250,4804%20din%2008.12.2016.pdf,4804%20din%2008.12.2016.txt,08.12.2016,Predeal Sarari,"['ROMANIA', 'Predeal Sarari', 'Predeal Sarari', 'judetul Prahova', 'Predeal Sarari', 'Predeal', 'cerinfele de rezistenta mecanica', 'DJ 219', 'gospodaria', 'Predeal Sarari', 'Bobicesti', 'siguranté', 'Predeal Sarari', 'Prahova', 'erodari de\n', 'Predeal Sarari']",[]
251,482-04.03.2015.pdf,482-04.03.2015.txt,04.03.2015,Salcia,"['ROMANIA', 'Salcia', 'Judetul Prahova nr. 8', 'Prahova', 'Salcia', 'Salcia', 'Valea Sarii', 'producdnd prabusirea', 'Prahova', 'Valea Sarii', 'Slt', 'Prahova', 'Prahova']",[]
252,4827%20din%2013.06.2017.pdf,4827%20din%2013.06.2017.txt,13.06.2017,Soimari,"['ROMANIA', 'Soimari', 'Prahova\n\n«DL', 'Soimari', 'Soimari', 'Magura', 'DJ 100 M', 'Ploiesti', 'Soimari', 'Ploiesti', 'colmatand', 'Soimari', 'Lopatna', 'Nefu', 'Lopatna', '.G.A. Prahova', 'Buzau si umplutura de piatra', 'Soimari', 'Centru', 'DJ 100 M', 'Lopatnita', 'Judetul Prahova', 'Judetul Prahova', 'Prahova', 'Prahova', 'erodari de', 'Lopatna', 'Prahova', 'Sing']",[]
253,483%20din%2007.03.2018.pdf,483%20din%2007.03.2018.txt,07.02.2018,Chiojdeanca,"['ROMANIA', 'Chiojdeanca\n\nfn', 'Prahova', 'Chiojdeanca', 'judetul Prahova', 'Tarna', 'DC 51', 'DC 51', 'Prahova', 'erodari de', 'Prahova']",[]
254,4842%20din%2029.03.2018.pdf,4842%20din%2029.03.2018.txt,29.03.2018,orasului Boldesti Scdeni,"['ROMANIA', 'orasului Boldesti Scdeni\n\nUrmare', 'DJ 232', 'Judetul Prahova', 'Prahova', 'Prahova', 'erodari de', 'DJ 232, in zona afectat']",[]
255,4845%20din%2007.11.2016.pdf,4845%20din%2007.11.2016.txt,07.11.2016,Prahova,"['ROMANIA', 'Prahova', 'Judetul Prahova nr. 8', 'Prahova', 'Judetul Prahova', 'Judetul Prahova', 'erodari de', 'DJ 231', 'DJ 231 si', 'Prahova']",[]
256,4862%20din%2023.05.2016.pdf,4862%20din%2023.05.2016.txt,23.05.2016,6616/L228/II/E/2/CT/2016,"['ROMANIA', '6616/L228/II/E/2/CT/2016', 'Prahova', 'Drajna', 'judetul Prahova', 'Drajna', 'Drajna', 'Prahova', 'erodari de', 'Prahova']",[]
257,4873-23.04.2015.pdf,4873-23.04.2015.txt,23.04.2015,Poiana Campina,"['ROMANIA', 'Poiana Campina', 'Poiana Campina', 'Judetul Prahova nr. 8', 'Prahova', 'Poiana Campina', 'Poiana Campina', 'Poiana Campina', 'Poiana Campina', 'fagase', 'Magura', 'Dragineasa', 'Pietrisu', 'Podu Lupii', 'Prahova', 'Prahova', 'erodari de', 'Poiana Campina', 'Poiana Campina', 'Poiana Campina']",['’ si']
258,49.Batrani-proces%20verbal%20nr.3167%20%20din%2031.07.2018.pdf,49.Batrani-proces%20verbal%20nr.3167%20%20din%2031.07.2018.txt,31.07.2018,Batrani,"['ROMANIA', 'Batrani', 'Prahova\n\n» Ing.Oprescu Nicolae', 'Batrani', 'judetul Prahova', 'paraului Lupoaia', 'Batraneanca', 'Batraneanca', 'DC 34', 'Prahova', 'Prahova', 'erodari de', 'Batrani', 'Sing']",[]
259,5.%20Telega%20%20-proces%20verbal%20nr.%203534%20din%2030.06.2018.pdf,5.%20Telega%20%20-proces%20verbal%20nr.%203534%20din%2030.06.2018.txt,20.01.2015,TELEGA,"['ROMANIA', 'TELEGA', 'Telega\n\nA', 'Telega', 'Melicesti', 'Telega', 'Melicesti', 'Telega', 'Sarata', 'malul stang si', 'Secaria', 'Judetu', 'Prahova', 'Prahova', 'Prahova', 'erodari de', 'evitari']",[]
